id,title,location,location_status,status,year,area,bathrooms,bedrooms,heating_type,energy_class,price
W-02Q9B0,Apartamento en finca reformada en el Gótico ,Ciutat Vella  Gòtic ,Excelente,Excelente,1910,79m²,2,3,Bombadecalor,D,720.000EUR
W-02Q9AU,Apartamento en finca reformada en el Gótico ,Ciutat Vella  Gòtic ,Excelente,Excelente,1910,85m²,2,2,Bombadecalor,D,790.000EUR
W-02Q9AS,Apartamento en finca reformada en el Gótico ,Ciutat Vella  Gòtic ,Excelente,Excelente,1910,85m²,2,2,Bombadecalor,D,770.000EUR
W-02Q9AG,Apartamento en finca reformada en el Gótico ,Ciutat Vella  Gòtic ,Excelente,Excelente,1910,85m²,2,2,Bombadecalor,D,750.000EUR
W-02QHHV,Dúplex con terraza en Sant Feliu de Llobregat ,Sant Feliu De LLobregat ,Excelente,Excelente,2023,134m²,2,3,CorrienteEléctrica,A,595.000EUR
W-02QHHR,Piso obra nueva en Sant Feliu de Llobregat ,Sant Feliu De LLobregat ,Excelente,Excelente,2023,90m²,2,2,CorrienteEléctrica,A,395.000EUR
W-02QHKG,Piso de obra nueva frente al mar en Badalona ,Badalona  Front Marítim ,,Excelente,,119m²,2,3,Sueloradiante,A,482.000EUR
W-02QHKD,Piso de obra nueva frente al mar en Badalona ,Badalona  Front Marítim ,,Excelente,,119m²,2,3,Sueloradiante,A,472.000EUR
W-02QHJ3,Piso de obra nueva frente al mar en Badalona ,Badalona  Front Marítim ,,Excelente,,119m²,2,3,Sueloradiante,A,526.000EUR
W-02QFV1,Piso de obra nueva frente al mar en Badalona ,Badalona  Front Marítim ,,Excelente,,119m²,2,3,Sueloradiante,A,494.000EUR
W-02QF6T,Piso de obra nueva frente al mar en Badalona ,Badalona  Front Marítim ,,Excelente,,119m²,2,3,Sueloradiante,A,472.000EUR
W-02QB6Y,Magnífico ático con terraza en zona Turó Parc ,Sant Gervasi  Turo Parc ,Excelente,Excelente,1965,223m²,4,5,Central,E,1.750.000EUR
W-02ODM6,Magnífico piso con terraza y vistas al mar ,Maresme  Vilassar de Mar ,Excelente,Bien,1972,135m²,2,4,,,395.000EUR
W-02OULV,¡Oportunidad! Espléndido piso en Travesera de Gracia ,Horta Guinardó  Baix Guinardó ,Muybien,Muybien,1945,117m²,2,4,Gas,F,390.000EUR
W-02Q9LU,Precioso ático con vistas a mar en venta ,Badalona  Front Marítim ,Excelente,Excelente,2004,167m²,2,4,Central,E,695.000EUR
W-02PYFU,Impresionante duplex en Casagemes ,Badalona  Badalona ,Excelente,Excelente,2018,129m²,3,3,Gas,B,495.000EUR
W-02Q9TJ,Dúplex encantador con entrada independiente ,Eixample  Sant Antoni ,Excelente,Muybien,1890,102m²,1,2,Bombadecalor,F,400.000EUR
W-02OVNW,Piso alto a reformar en Eixample Dret ,Eixample  Eixample Dreta ,Excelente,Necesitarestauración,1924,192m²,2,8,Gas,E,950.000EUR
W-02GCOM,Amplio piso exterior en el Born ,Ciutat Vella  Born-Ribera ,Excelente,Muybien,1900,125m²,2,3,Gas,G,562.000EUR
W-02QC4L,Ático con terraza a nivel en el Raval Alto ,Ciutat Vella  raval ,,,1898,105m²,1,2,,E,448.000EUR
W-02QD2Q,Gran y señorial piso en Laforja ,Sant Gervasi  Galvany ,Excelente,Bien,1944,267m²,3,5,Gas,D,1.290.000EUR
W-02QCTH,Bonito apartamento frente al Port Vell ,Ciutat Vella  Born-Ribera ,Excelente,Excelente,2010,77m²,2,2,,D,600.000EUR
W-02QCLC,Piso exterior y reformado en Sant Andreu ,Sant Andreu ,Bien,Bien,1997,87m²,1,3,,,180.000EUR
W-02QDBT,Piso reformado con balcón en Rambla Poblenou ,SANT MARTIN  Provençals del Poblenou ,Excelente,Excelente,1989,76m²,1,3,Gas,E,435.000EUR
W-02P2A8,Apartamento bien ubicado junto a Lesseps ,Gracia  La Salut ,Excelente,Muybien,1980,46m²,1,1,Central,F,270.000EUR
W-02G2VH,Casa familiar en Nou Barris ,Nou Barris ,Regular,Muybien,1957,286m²,3,4,BombadecalorGas,,615.000EUR
W-02GBCW,Piso muy luminoso en Poblenou ,SANT MARTIN  El Poblenou ,Excelente,Excelente,2006,126m²,2,4,Gas,,850.000EUR
W-02QDSY,Piso tranquilo para entrar a vivir ,Sant Just - Esplugues  Esplugues - Otras ,Muybien,Muybien,1979,95m²,1,3,Gas,E,270.000EUR
W-02Q9AI,Acogedor piso cerca de Plaza d’Espanya ,Sants - Montjuïc  Poble Sec ,Excelente,Muybien,1928,40m²,1,1,,G,179.000EUR
